SL,Botanical Name,Common Names,General Information,Known Hazards,Range,Habitat,Properties,Cultivation Details,Edible Uses,Medicinal,Other Uses,Propagation
16,Pterospermum acerifolium,Hatipolia,"Maple-leaved bayur is an evergreen tree with an irregular crown with thick, steeply ascending branches; it can grow up to 30 metres tall. The bole is often crooked. The tree is gathered from the wild for a range of local uses - medicinal, timber, plate substitutes etc. It is planted as a roadside tree or garden ornamental, being valued especially for its beautiful, fragrant blooms; large leaves; and the shade it provides.",None known,"E. Asia - southern China, Pakistan, India, Nepal, Bhutan, Bangladesh, Myanmar, Thailand, Malaysia, Laos","Forested slopes at elevations of 1,200 - 1,700 metres in southern China. Swamp forests in India. Along riverbanks and in damp valleys in humid lowland forests and swamps","Habit Evergreen Tree Height 30.00 m Growth Rate Fast Cultivation Status Ornamental, Wild","A plant of the moist tropics. It is able to withstand occasional light frosts, though these kill the growing tips and can cause the plant to become multi-stemmed. Grows best in a sunny position. Succeeds in a range of soils, preferring one that is fertile and moisture-retentive. A fast-growing plant. The tree suckers freely from its wide surface roots.",None known,"The indumentum from the lower side of leaf is said to be used to prevent bleeding from wounds.  A good tonic is prepared from the flowers which is also a cure for inflammation, ulcers, tumours, blood troubles and leprosy.  The bark and leaves are used in small pox.","The flowers, kept among clothes, impart a pleasant perfume and keep away insects.  The down obtained from the leaves is used as a tinder.  The large leaves have been used as plates and for wrapping up items such as tobacco leaves.  The heartwood is red; the sapwood white. The wood is soft to moderately hard. It is sometimes used for planking and interior construction. The wood is used for fuel.",Seed - Cuttings of half-ripe wood with a heel.
17,Albizia lebbeck,"Hiraru, Moroi, Mog, Kako, Sundi, Saw, Harish","Siris tree is a very fast-growing deciduous tree with an open, large, spreading crown; it usually reaches a height of 15 - 20 metres, with exceptional specimens growing up to 30 metres. The straight, cylindrical bole can be 50 - 100cm in diameter, with exceptional specimens to 300cm. In India plantation-grown siris yields a high quality hardwood that is traded in Europe as 'Indian walnut' or 'koko'. The tree has been widely planted in agro-forestry schemes in the drier parts of the Tropics. Plants are used to provide shade for coffee and cocoa plantations as well as to provide a valuable timber and fuel. It is a popular amenity tree throughout the dry tropics because of its shady spreading habit, although the copious litter produced beneath it is often regarded as a disadvantage[","The wood dust is aromatic and peppery. It may cause irritation to the nose and throat of sawmill workers. The bark is used as a fish poison. A red dye obtained from the bark has caused skin irritation. The pods contain saponin and are not eaten in large amounts by sheep, although cattle eat them readily.",E. Asia - drier areas of the Indian subcontinent and southeastern Asia to northern Australia.,Tropical to subtropical sandy river beds and savannahs.,"Habit Deciduous Tree Height 15.00 m Growth Rate Fast Pollinators Bees, Insects Cultivation Status Cultivated, Ornamental, Wild","Although siris will grow in the humid tropics, its natural range is in semi-arid to sub-humid areas of the tropics and subtropics that have marked dry and reliable wet seasons. However, it may be established under conditions of low (400 mm/year) and irregular rainfall. Plants can succeed at elevations from sea level to 1,800 metres in areas where annual daytime temperatures are within the range 26 - 36°c, but can tolerate 12 - 48°c. It prefers a mean annual rainfall in the range 600 - 2,000mm, but tolerates 500 - 2,500mm. Seedlings will not tolerate frost, but trees are moderately frost resistant when established. Prefers a well-drained, moisture-retentive soil and a position in full sun. Plants are able to succeed in most soil types, including saline but excluding cracking clay, so long as they are well drained. Tolerant of degraded or nutritionally poor soils. Prefers a pH in the range 6 - 7, tolerating 5.5 - 8.5. Established plants are very drought tolerant. Seedlings will not tolerate waterlogging. Requires a position sheltered from strong winds. Widely cultivated, the tree has become established in the wild in various areas outside its native range and is considered to be invasive in some of these areas. A fast-growing species, it can reach a height of 18 metres within 10 years from seed. When grown as a fuel crop on a coppice rotation of 10 - 15 years, it can produce about 5 cubic metres per hectare. Optimum annual wood production is 15 - 20 cubic metres per hectare. Plants have brittle limbs that can break off in high winds. They also have a shallow, though wide-spreading root system that does not support them well in windy positions. The dried seedpods hanging on the tree constantly rattle in the wind. Reserves in the root system enable young plants to survive total defoliation from fire or grazing, but with an obvious setback in growth. The tree coppices well, responds to pollarding, pruning and lopping, and will produce root suckers if the roots are exposed The trees are killed by even light fires. This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby. The tree is not Rhizobium specific, and native strains are nearly always capable of producing an abundance of nodules.",None known,"The leaves and seeds are used in the treatment of eye problems such as ophthalmia.  The bark is astringent It is taken internally to treat diarrhoea, dysentery and piles. The bark is used externally to treat boils.  The flowers are applied locally to maturate boils and alleviate skin eruptions.  The powdered seeds are used to treat scrofula.  Saponin from the pods and roots has spermicidal activity","Agroforestry Uses: A fast-growing tree that fixes atmospheric nitrogen and succeeds in full sun, it is an excellent plant to use as a pioneer when establishing woodland or woodland gardens, though its ability to invade areas outside its native range means that it is best used only within its native area. Due to its extensive, fairly shallow root system, the tree is a good soil binder and is recommended for eroded lands and erosion control, for example along river embankments. The nitrogen-rich leaves are valuable as mulch and green manure. Light transmission through the canopy of free-standing trees is 40 - 50%. Free-standing trees appear to enhance pasture production and quality beneath the canopy due to the increased nitrogen status of the soil. In an open woodland environment it has been repeatedly observed that there is modification of the ground cover with enhancement of grass production and quality beneath the canopy. Seedlings and cuttings are used as an initial shade in coffee, cardamom, cocoa plantations etc. The tree is also used in rehabilitating old cocoa farms or on improved fallows intended for cocoa cultivation due to its nitrogen-fixing abilities. Although not completely wind firm, the tree is tolerant of salt-laden winds and can be planted in moderately exposed coastal situations and as quick-growing shelter for less hardy plants. A valued honey tree because of its production of both nectar and pollen. Other Uses It seems probable that the fruits can yield 10 barrels of ethanol per hectare per year.  The trunk yields a reddish gum that is used as an adulterant of gum arabic. A red dye is obtained from the bark. It can cause skin irritation.  The bark contains 7 - 11% tannin and is used locally in India for tanning fishing nets.  When dried and pounded, the bark can be used for soap.  The heartwood is golden brown when freshly cut, turning to a rich dark brown with black streaks; it is clearly demarcated from the paler sapwood. The texture is medium to coarse; the grain deeply interlocked; lustre is medium; there is no distinctive odour or taste The wood is moderately heavy and hard; strong and fairly durable. It seasons well, works and polishes easily. An excellent, very decorative timber, it has been compared to black walnut. The wood is suitable for turnery, carving, general construction, furniture, veneer, agricultural implements etc. More generally the wood is useful for fuel wood because of its high productivity. It makes an excellent charcoal","Seed. The species is not particularly hard-seeded and requires only mild treatment (e.g. in water at 50 °c for 3 minutes) to germinate successfully. Be careful, though, since some seeds are quite thin-skinned and can be damaged if the water is too hot. A proportion of the seeds germinate immediately without any treatment. Plants can be direct-sown, container grown, or raised in a massed seed-bed and planted out as bare-rooted stems. There is nothing published on preferred rhizobial strains but it appears to nodulate readily without inoculation. Cuttings. Air layering."
18,Altingia excelsa,Jutuli,"]Rasamala is an evergreen tree that can grow up to 50 metres tall in the warmer parts of its range (such as Indonesia) but is only about 20 metres tall in other areas such as China. Young trees are very elegant with a dense crown and pyramidal shape, the crown later becoming more rounded. Trees tend to form multiple stems if growing in an open position. The tree is often exploited from the wild for its timber. It also has a range of local medicinal applications, provides an incense and has edible shoots",None known,"E. Asia - southwestern China, Bhutan, India, Myanmar, through Malaysia to Indonesia","A dominant species in tropical montane evergreen broadleaved forests at elevations around 1,000 metres",Habit Evergreen Tree Height 25.00 m Pollinators Wind? Cultivation Status Wild,"A plant of the moist tropics, where it is found at elevations from 500 - 1,700 metres. It grows best in areas where annual daytime temperatures are within the range 20 - 32°c, but can tolerate 10 - 40°c. It prefers a mean annual rainfall in the range 2,000 - 3,000mm, but tolerates 1,200 - 4,000mm. Grows best in a sunny or lightly shaded position. Succeeds in most fertile, well-drained soils, preferably of a medium to heavy texture. Prefers a pH in the range 5 - 6, tolerating 4.5 - 6.5. In the warmer, moist tropics, the plant can flower and fruit all year round. The seeds are sweetly scented and are dispersed by ants and, to a lesser extent, by monkeys and birds that feed on the seeds.",The young reddish-brown tips of the branches are eaten raw or cooked as a vegetable.,"The resin contained in the stems is anodyne, antiphlogistic, antiscorbutic, antiseptic, carminative, expectorant, stimulant and stomachic. It is used in the treatment of affections of the throat; skin diseases such as scabies and leucoderma; it is smeared over the abdomen of children to relieve the pains of colic; it is applied to inflamed testicles to treat orchiditis; and is useful in the early stages of hydrocele.  The leaves are used to cure cough","Agroforestry Uses: The tree is often interplanted with Leucaena leucocephala in young plantations to suppress weeds and to reduce formation of multiple stems. Other Uses A yellow, scented resin is obtained from the stems. It is obtained from the wounded bark. A fragrant, honey-like balsam. It is used as a perfume, incense and a medicine.  The dried bark is a useful tinder.  The red to blackish-brown wood is heavy and fine-grained. The wood is very durable and can be used in direct contact with the soil. Because of its long, branchless boles, it is favoured for frames of bridges, columns and beams for construction, power transmission poles, telephone poles and railway sleepers. It is also used for heavy construction, vehicle bodies, ship and boat building, heavy flooring, rafters, veneer, plywood and pulp","Seed - it has a short period of viability and is best sown as soon as it is ripe. It is best soaked in cold water for 24 hours prior to sowing. The sowing medium is a mix of sand and soil (1 : 1). Germination starts about 10 days after sowing. One month old seedlings can be transplanted to plastic bags, preferably in a growing medium enriched with organic matter and fertilizer["
19,Lannea coromandelica,Jia,Jhingangummi is a deciduous tree usually growing 5 - 10 metres tall but with some specimens up to 20 metres tall with a bole 45cm in diameter. The leaves are gathered from the wild for local use as food. The plant is also cultivated in some areas of the tropics as a hedge plant and roadside tree,None known,"E. Asia - southern China, Indian subcontinent, Myanmar, Thailand, Cambodia, Laos, Vietnam","Lowland and hill forests at elevations of 100 - 1,800 metres. Dry forests in India and Myanmar[","Habit Deciduous Tree Height 8.00 m Self-fertile No Cultivation Status Cultivated, Ornamental, Wild","Succeeds in tropical and subtropical zones at elevations up to 1,800 metres. Grows best in areas where the mean annual temperature falls within the range 32 - 40°c, but can tolerate 8 - 47°c. Plants are killed at temperatures below -2.5°c. Prefers a mean annual rainfall of 1,200 - 2,000mm, tolerating 600 - 3,800mm. Grows best in a sunny position. Succeeds in most soils of moderate fertility, tolerating poor soils. Prefers a pH in the range 5 - 6.5, but tolerates 4.5 - 8. In its more common, dry woodland environment, the tree is usually small and somewhat ungainly - in moister conditions, however, it can become a handsome, spreading tree. The valuable heartwood is generally only formed in sufficient quantity from trees grown in moister conditions. The tree is resistant to fire. A dioecious species, both male and female forms need to be grown if seed is required.",Young leaves and sprouts - raw or cooked. Eaten as a vegetable. Eaten as a lalab (a vegetable salad served with sambal) with rice.  The gum obtained from the trunk is often used in confectionery.  The powdered bark is used as a flavouring.,Medicinal The bark and the leaves are used as medicine. Agroforestry Uses: The plant can be grown as a hedge. It is easily propagated by cuttings and so can be grown as a living fence.,"The bark contains tannins. It is used for the impregnation of fishnets.  A soluble resin, called 'Jingan gum' is obtained from the stems. It is used for calico printing; as a size for paper; for mixing with lime when whitewashing; protecting nets etc. It is obtained by making shallow, short cuts all over the bark. Especially after injuries of the bark and trimmings, masses of glassy-white exudate of hardening gum appear - which may give leafless trees an eerie appearance. A good quality gum. The gum is of inferior quality.  The bark yields a coarse cordage fibre.  The heartwood is light red when freshly cut, turning reddish-brown on exposure. The wood is moderately hard, close-grained. It is used for spear shafts, scabbards, wheel-spokes, oil presses, grain pounders etc.","The bark contains tannins. It is used for the impregnation of fishnets.  A soluble resin, called 'Jingan gum' is obtained from the stems. It is used for calico printing; as a size for paper; for mixing with lime when whitewashing; protecting nets etc. It is obtained by making shallow, short cuts all over the bark. Especially after injuries of the bark and trimmings, masses of glassy-white exudate of hardening gum appear - which may give leafless trees an eerie appearance. A good quality gum. The gum is of inferior quality.  The bark yields a coarse cordage fibre.  The heartwood is light red when freshly cut, turning reddish-brown on exposure. The wood is moderately hard, close-grained. It is used for spear shafts, scabbards, wheel-spokes, oil presses, grain pounders etc."
20,Syzigium jambosa,"Jam, Jamoon","Jambos is an evergreen tree with a regular shaped, dense crown of wide-spreading branches, it can grow 6 - 10 metres tall. The bole can be 50cm in diameter, often branching from low down. A multipurpose tree that has been cultivated for around 2,500 years. It provides food, medicines and a range of commodities for the local population. An attractive tree with showy cream-coloured flowers and dark-green foliage, it is often grown as an ornamental and hedge plant in tropical gardens. It is also sometimes cultivated for its edible fruit","The seeds are said to be poisonous. An unknown amount of hydrocyanic acid has been reported in the roots, stems and leaves. An alkaloid, jambosine, has been found in the bark of the tree and of the roots, and the roots are considered poisonous","E. Asia - Malaysia, India","Open places, generally around villages, at elevations of 600 - 1,400 metres in Nepal. Most commonly found in moister habitats such as stream banks, becoming more frequent at higher elevations as rainfall levels rise","Habit Evergreen Tree Height 8.00 m Growth Rate Medium Pollinators Bees, Insects, Self Self-fertile Yes Cultivation Status Cultivated, Ornamental, Wild","Flourishes in tropical and near-tropical climates only, usually below elevations of 1,200 metres but up to 2,300 metres in Ecuador. It succeeds in dry areas, but fruits best in more humid regions. At its climatic limits, as in California, the tree grows vigorously but will not bear fruit. It grows best in areas where annual daytime temperatures are within the range 18 - 38°c, but can tolerate 5 - 40°c. The mature plant can tolerate occasional temperatures down to about -3°c. It prefers a mean annual rainfall in the range 1,200 - 1,600mm, but tolerates 700 - 4,000mm. It dislikes dry seasons unless growing in soils with adequate moisture levels. Succeeds in any reasonable soil in full sun or part day shade. Young plants require some shade and a moist environment. Tolerates poor, sandy and alkaline soils, but grows slowly and reproduces poorly. Often found in poorly drained soils. Prefers a pH in the range 5.5 - 7, tolerating 5 - 8. The tree is said to tolerate wind and salt. The trees have naturalized themselves thoroughly in the wetter parts of Guatemala. Natural regenerarion from seed on suitable sites is generally abundant and will proceed under almost any condition. Young plants have a slow rate of growth, speeding up as they grow older. Two year old plants are around 80cm tall, up to 3 metres by the age of 7 and to 4.5 metres at the age of 10 years. Trees coppice very vigorously. A plant can produce dense stands of sprouts up to 3.6 metres tall just 12 months after being cut back to ground level. Fruiting can be expected within 4 years, especially from layered plants. In some areas it blooms and fruits sporadically nearly all the year round, whilst in other areas it has a clear fruiting season. Trees in the open usually fruit abundantly, but fruiting reduces as the shade increases. In India, a mature rose apple tree is said to yield 2 kg of fruit each season. The fruits are, of course, very light in weight because they are hollow, but this is a very small return for a tree that occupies so much space. Trees coppice very vigorously.","Fruit - usually eaten raw, the fruit can also be stewed, made into jams, jellies, confections etc. A sweet flavour with a crisp and crunchy texture, the fruit is somewhat to very juicy and has a delicate, rose-water fragrance. When cooked with custards or puddings, they impart a rose-like flavour. The large, hollow seed cavity is sometimes utilized to stuff the fruits and bake them .The fruit has to be handled very carefully after harvesting because it bruises easily and then loses its crispness. The fruit is up to 4cm x 6cm. Around the tropical world, the fruit is mostly eaten out-of-hand by children. It is seldom marketed. In the home, it is sometimes stewed with some sugar and served as dessert. The fruit can be distilled to yield a rosewater that is said to be equal to the best obtained from rose petals.  Flowers - candied.","Medicinal : Several parts of the tree are used medicinally as a tonic or a diuretic.  In India, the fruit is regarded as a tonic for the brain and liver. An infusion of the fruit acts as a diuretic.  A sweetened preparation of the flowers is believed to reduce fever..  The seeds are employed against diarrhoea, dysentery and catarrh. In Nicaragua, it has been claimed that an infusion of roasted, powdered seeds is beneficial to diabetics. They say in Colombia that the seeds have an anaesthetic property.  The leaf decoction is applied to sore eyes, also serves as a diuretic and expectorant and treatment for rheumatism. The juice of macerated leaves is taken as a febrifuge. Powdered leaves have been rubbed on the bodies of smallpox patients for the cooling effect.  The bark contains 7-12.4% tannin. It is astringent, emetic and cathartic. The decoction is administered to relieve asthma, bronchitis and hoarseness.  Cuban people believe that the root is an effective remedy for epilepsy. Agroforestry Uses: If the young plants are pruned severely, they become very dense and form an effective if not particularly handsome wind-break hedge. Plants develop massive root systems and can be useful for stabilizing soils on river banks. However, the dense top growth can stop any plant growth underneath, and this has sometimes led to sheet erosion unless the crown is thinned. Bees produce a heavy, consistent flow of amber honey from the flowers[790","A yellow coloured essential oil, important in the perfume industry, is derived from the leaves by distillation. It contains, among other properties, 26.84% dl-a-pinene and 23.84% l-limonene, and can be resorted to as a source of these elements for use in the perfume industry.  The bark contains 7% tannin on a dry weight basis and is used by local villagers for tanning and dyeing purposes. The bark also yields a brown dye.  The flexible branches split easily. They are valued for making wattle, hoops for large sugar casks, and also are valued for weaving large baskets.  The heartwood is dark-red or brown; the sapwood is white. The wood is straight and close-grained, medium-heavy to heavy, strong. It is not durable in the ground and is prone to attack by dry wood termites. It is usually too small for many purposes, but is commonly used for fenceposts, plant stakes etc, and larger pieces can be used to make furniture, spokes for wheels, arms for easy chairs, knees for all kinds of boats, beams for construction, frames for musical instruments (violins, guitars, etc.), and packing cases. It is also popular for general turnery. The wood makes an excellent fuel and charcoal","Seed - the seeds have a very short viability and no dormancy; they usually germinate well within 10 - 120 days if sown fresh. Surface sow the seed in a shady position, firming it gently into the soil, and water well but be careful not to wash the seed away. A single seed often gives rise to 3 - 8 seedlings and most of them are true to type. Young plants transplant badly, so should be potted up into individual containers as soon as they are large enough to handle and before the roots have grown much. Young plants need some shade. Air layering."
21,Toona ciliata,"Jatipoma, Poma, Mountain Cedar","Mountain cedar is a fast-growing, deciduous tree with a rounded, spreading, occasionally dense crown; it can grow to a height of around 20 - 35 metres. When grown in a forest situation, the bole can be clean for 9 - 22 metres with a diameter of 180 - 300cm. The bole can have buttresses up to 3.5 metres tall. The tree has a wide range of traditional uses, and is particularly valued for its timber, which is gathered from the wild and also produced in plantations. It is often grown as an ornamental, especially for its flowering display. A popular avenue tree planted along roadsides in north India. The timbers of Toona species are highly prized but now generally scarce through excessive logging activities throughout their distributional ranges",Sawdust from machining operations has been reported to cause dermatitis in some individuals,"E. Asia - China, Indian subcontinent, Myanmar, Thailand, Cambodia, Laos, Vietnam, Malaysia, Indonesia, Philippines, New Guinea, Australia, W. Pacific","Common to abundant in shade or open habitats: valleys, ravines, woods, thickets, forests, hillsides, mountaintops, slopes, near rivers and streams, especially throughout Yunnan, at elevations of 400 - 2,800 metres","Habit Deciduous Tree Height 40.00 m Growth Rate Fast Pollinators Bees, Moths Cultivation Status Cultivated, Ornamental, Wild","A plant of the moist to wet tropics and subtropics, where it is found at elevations from 400 - 2,800 metres. It grows best in areas where annual daytime temperatures are within the range 18 - 34°c, but can tolerate 8 - 48°c. When dormant, the plant can survive temperatures down to about -3°c, but young growth can be severely damaged at 0°c. It prefers a mean annual rainfall in the range 1,100 - 3,000mm, but tolerates 750 - 4,500mm. Young trees require some protection from direct sun, but become more light demanding as they grow older. Prefers a rich, deep, water-retentive soil. Does not do well on wet, compacted or poor sandy ones. Prefers a pH in the range 5.5 - 6.5, tolerating 4.5 - 7.5. Widely grown as a timber tree, it has wind-dispersed seeds and has become naturalized in some areas. It needs to be monitored for potential invasiveness. Toona ciliata grows rapidly. In Hawaii an average tree height of 10 metres and an average bole diameter of 9.6 cm had been reached after 8.7 years. Trees may reach a height of 35 metres with a bole diameter of 70 cm when 40 years old. In plantations in tropical Africa, growth declines seriously after 40 years. Trees planted in open localities may already flower and produce seed after 6 years. It coppices well and produces plentiful root suckers.  The tree has a spreading superficial root system, which may have adverse effects on the growth of agricultural crops. The tendency to become branchy should be controlled by close initial spacing. Thinning is required from the 4th year, and thereafter every 5 years. A very variable tree.",Leaves - cooked,"Medicinal Various parts of the plant are used medicinally throughout its geographical range.  The bark is a powerful astringent, febrifuge, tonic, and antiperiodic. It is used to treat chronic dysentery and wounds. A resinous gum obtained from the bark is used to treat boils.  The flowers are emmenagogue. Agroforestry Uses: Mountain cedar has been used in reforestation projects and is also planted to provide firebreaks.","The flowers contain a red colouring matter and also a sulphur-coloured dye. Cotton and woollen fabric can be dyed a dull yellow by mere immersion in a boiling extract of the flowers. Used in conjunction with safflower and turmeric, they produce a sulphur-yellow colour.  The bark contains tannin.  A fibre obtained from the bark has been used traditionally for twines and the manufacture of string bags.  An aromatic oil can be extracted from the fruit.  Some extracts from the bark have insect-repellent properties. Extracts from the bark, heartwood and leaves apparently have insecticidal qualities.  The wood is used for shiitake mushroom culture.  The heartwood is pale brown, cedar brown, dark red-brown or brick red when first cut, darkening upon exposure to a rich reddish-brown with darker brown streaks. The sapwood is pinkish-white, red or pale yellow-brown, it smells strongly of cedar when cut. The grain is generally straight to somewhat interlocked, the texture moderately close and uneven, and the wood lustrous. A strong, fragrant, long-lasting spicy odour is usually present. The wood is moderately hard, lightweight, tough and durable. Staining is satisfactory, and the timber takes both water- and oil-based paints well. The wood has a variety of uses such as for carvings, boat building, cabinet making, cigar boxes, matchboxes, decorative plywood and veneer, food containers, high-grade furniture, interior trim, joinery, musical instruments, ornamental work, panelling, boxes and crates, building materials, exterior uses, millwork, mouldings. The timber of this species has always been highly regarded in the manufacture of light-weight racing boats particularly sailing boats and dinghies",Seed - germinates quicker and better under shade. It should be broadcast thinly on raised and shaded nursery beds soon after collection. Germination takes 8 - 15 days and fresh seed has a germination rate of 50 - 80%. Natural regeneration is profuse even in areas outside its natural range. Good natural reproduction can be induced by clearing the ground in the vicinity of seed bearers. Orthodox seed storage behaviour; 90% germination after 12 months’ storage in polythene bags at 5 - 8°c with 34-12.9% mc; complete loss of viability after 3 months at room temperature.
22,Duabanga grandiflora,"Khokan, Ramdala","Duabanga grandiflora is an evergreen tree growing up to 30 metres tall with occasional specimens up to 40 metres. The bole, which is scarcely buttressed, can be up to 200cm in diameter. The flowers have an unpleasant odour. The edible fruit is sometimes gathered from the wild for local use, whilst the tree is exploited in the wild for its timber.",The bark is used as a fish poison,"E. Asia - southern China, India, Myanmar, Malaysia, Laos, Thailand, Cambodia, Vietnam","Valley forests, open places, especially on river banks; at elevations of 900 - 1,500 metres. Often found in disturbed moist areas, at elevations up to 1,200 metres, more frequent in hilly areas on the moist valley slopes.",Habit Evergreen Tree Height 30.00 m Growth Rate Fast Cultivation Status Wild,Grows best in a sunny position. A fast-growing species,"Fruit - raw. Very acid, it can be made into a refreshing drink. It is boiled and used as a vegetable. A sour taste. The fruit is a subglobose capsule that becomes hard as it matures, 3 - 4 × 4 - 4.5 cm in size.",None known,"he fruits and leaves are boiled to make a black dye.  The heartwood is light yellow to light brown with light yellowish streaks; it is not demarcated from the sapwood. The texture is coarse, the grain straight or interlocked. The wood is light in weight, soft; it is not durable , being susceptible to fungi, dry wood borers and termites. It seasons rapidly, with only a slight risk of checking or distortion; once dry it is moderately stable in service. The wood is easily worked with ordinary tools, though these must be kept very sharp to avoid fuzzy surfaces; filling is necessary in order to obtain a good finish; nailing and screwing are poor; gluing is correct. A lower quality timber, it is used for purposes such as boxes and crates, tea boxes, furniture components, house and boat building, blockboard, fibre boards and pulp. It is used traditionally for making canoes, household utensils etc.",Seed
23,Neolamarckia cadamba,Kadam,"Amboina is a large, ornamental tree with a broad, umbrella-shaped crown that can reach a height of 45 metres. It has a straight, cylindrical bole, sometimes with buttresses, that can have a diameter of 100cm, exceptionally to 160cm. Amboina is becoming one of the most frequently planted trees in the tropics where it is often grown along avenues, roadsides and in villages both for ornament and to provide shade. The tree is highly regarded religiously and culturally in India, Java and Malaysia, it is considered sacred to the Lord Krishna. It is a favoured plantation species, both inside and outside its native range",None known,"E. Asia - Indian subcontinent, China, Malaysia through Indo-China to Australia","An early-succession species, it grows best on deep, moist, alluvial sites, often in secondary forests along riverbanks and in the transitional zone between swampy, permanently flooded and periodically flooded areas.","Habit Tree Height 45.00 m Growth Rate Fast Pollinators Insects Cultivation Status Cultivated, Ornamental, Wild","A plant of the moister tropics, it grows well at an altitude range of 300 - 800 metres. It prefers a mean annual temperature of around 23°c and is sensitive to frost. It grows best with a mean annual rainfall of around 1,600mm or more, but can tolerate dry areas with as little as 200mm of rain. Prefers well drained entisols. It does not grow well on leached and poorly aerated soils. Older trees require good light conditions, the saplings, however, require the protection of some shade from the hot sun. Trees are sensitive to frost, drought and excessive moisture. Trees can tolerate periodic flooding. Young trees usually grow fast for the first 6 - 8 years, commencing flowering around the age of 4 years. When grown for timber, they are usually felled at around the age of 10 - 15 years. The tree coppices well. The fragrant orange flowers attract insect pollinators",The fruit and inflorescences are reportedly edible[,"The dried bark is used to relieve fever and as a tonic.  An extract of the leaves serves as a mouth gargle.  The plant is considered to be astringent, digestive, expectorant and febrifuge. It is used in the treatment of conditions such as ulcers, digestive problems, fevers and vomiting. Agroforestry Uses: Amboina is a typical pioneer species in its natural range and is suitable for reforestation programmes. It is fast growing and suitable for reforestation in watersheds and eroded areas and for windbreaks in agroforestry systems. It is also excellent as a shade tree for dipterocarp line planting Trees shed large amounts of leaf and non-leaf litter, which on decomposition improve some physical and chemical properties of the soil under their canopy. This reflects in increases in the level of soil organic carbon, cation exchange capacity, available plant nutrients and exchangeable bases.","The fresh leaves are sometimes used as serviettes or plates.  A yellow dye can be obtained from the root bark.  The flowers are the source of an essential oil. They are an important raw material in the production of ‘attar’, which are Indian perfumes with sandalwood (Santalum spp.) base in which one of the essences is absorbed through hydro-distillation.  Extracts of the flowers exhibit nematicidal effects on Meloidogyne incognita.  The wood is white with a light yellow tinge becoming creamy yellow on exposure; the sapwood is not clearly differentiated from the heartwood. The wood has a density of 290-560 kg/cu m at 15% moisture content, a fine to medium texture; straight grain; low lustre and has no characteristic odour or taste. It is easy to work with hand and machine tools, cuts cleanly, gives a very good surface and is easy to nail. However, the wood is rated as non-durable, graveyard tests in Indonesia show an average life in contact with the ground of less than 1.5 years. The timber air dries rapidly with little or no degrade. The wood is very easy to preserve using either open tank or pressure-vacuum systems. The timber is used for plywood, light construction, pulp and paper, boxes and crates, dug-out canoes, and furniture components. The tree yields a pulp of satisfactory brightness and performance as a handsheet. The wood can be easily impregnated with synthetic resins to increase its density and compressive strength.","Seed - best sown in a nursery - direct sowing is not very successful because of the small-sized seeds and the their sensitivity to drought, excessive moisture and direct sun. The epigeous germination begins in about 10 - 14 days in the rainy season. When the seedlings are 8 - 12 weeks old, they are transplanted to nursery beds or plastic bags. It is recommended to use a medium that is enriched with organic matter. After 6 - 7 months, when the seedlings are about 30cm tall, they are ready for transplanting into the field. They can be planted bare-rooted with little loss in survival rate. The young seedlings are highly susceptible to weeds and should be weeded regularly. 2-month seedlings can be transplanted in nursery beds or into polythene bags, where they can be retained before planting at the start of the monsoon rains. To ensure successful establishment, seedlings should be planted out with their balls of earth. Successful extraction of seed from ripe fruits involves air drying, crushing, and sieving through a No. 35 US Standard sieve to separate seed from chaff. The fruits are first soaked in the open until rotted, then ground by hand into a thick slurry, air dried, and passed through a series of sieves terminating with a No. 35. This procedure improves seed purity up to 98%, and germination success. Air layering."
24,Machilus nanmu,Kowla,Machilus nanmu is a large tree able to grow 40 metres or more tall. The bole is around 40cm in diameter. The tree is harvested from the wild for its timber.,None known,"E. Asia - southern China, India",Mixed forests at elevations below,Habit Tree Height 40.00 m Cultivation Status Wild,None Known,None known,None known,The wood is used for making Chinese coffins.,Seed
25,Terminalia phellocarpa,Kharikasopa,"Terminalia phellocarpa is a tree with a spreading crown; it can grow up 12 - 36 metres tall. The straight, cylindrical bole can be up to 80cm in diameter with short buttresses and many aerial roots. The tree is harvested from the wild for local use of its wood.",None known,"Southeast Asia - Malaysia, Indonesia, India",Swamp forests at low elevations,Habit Tree Height 25.00 m Cultivation Status Wild,The fruits and seeds are distributed mainly by floodwater floating them through the forest.,None known,None known,The wood is said to be use,Seed
